Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage
Intact Financial,Financials,Property & Casualty Insurance,North America,Canada,8.3,7.2,0.4,18.1,1058,http://www.forbes.com/companies/intact-financial/
Delhaize Group,Consumer Staples,Food Retail,Europe,Belgium,7.3,28.5,0.2,16,1059,http://www.forbes.com/companies/delhaize-group/
Eletrobrás,Utilities,Electric Utilities,South America,Brazil,4.5,15.3,-2.9,58.7,1060,http://www.forbes.com/companies/eletrobras/
Norsk Hydro,Materials,Aluminum,Europe,Norway,10.2,11,-0.2,19,1061,http://www.forbes.com/companies/norsk-hydro/
Petronas Chemicals,Materials,Specialized Chemicals,Asia,Malaysia,16.7,4.8,1,8.5,1062,http://www.forbes.com/companies/petronas-chemicals/
Prologis,Financials,Real Estate,North America,United States,20.4,1.8,0.3,24.6,1063,http://www.forbes.com/companies/prologis/
Randstad Holding,Consumer Discretionary,Business & Personal Services,Europe,Netherlands,10.6,22,0.3,9.1,1064,http://www.forbes.com/companies/randstad-holding/
Sembcorp Industries,Industrials,Construction Services,Asia,Singapore,7.7,8.6,0.7,10.9,1065,http://www.forbes.com/companies/sembcorp-industries/
Attijariwafa Bank,Financials,Regional Banks,Africa,Morocco,7.9,2.8,0.5,44.9,1065,http://www.forbes.com/companies/attijariwafa-bank/
Melco Crown Entertainment,Consumer Discretionary,Casinos & Gaming,Asia,Hong Kong,22.1,5.1,0.6,8.8,1067,http://www.forbes.com/companies/melco-crown-entertainment/
China Resources Enterprise,Consumer Discretionary,Specialty Stores,Asia,Hong Kong,6.8,18.9,0.2,20,1068,http://www.forbes.com/companies/china-resources-enterprise/
China Eastern Airlines,Industrials,Airline,Asia,China,4.8,14.3,0.4,22.8,1069,http://www.forbes.com/companies/china-eastern-airlines/
Mitsubishi Materials,Materials,Diversified Metals & Mining,Asia,Japan,3.7,14.1,0.5,17.2,1070,http://www.forbes.com/companies/mitsubishi-materials/
Celanese,Materials,Diversified Chemicals,North America,United States,8.7,6.5,1.1,9,1071,http://www.forbes.com/companies/celanese/
Shaw Communications,Consumer Discretionary,Broadcasting & Cable,North America,Canada,10.9,5.1,0.7,11.9,1072,http://www.forbes.com/companies/shaw-communications/
Prada,Consumer Discretionary,Apparel/Accessories,Europe,Italy,20.8,4.7,0.9,5.1,1073,http://www.forbes.com/companies/prada/
SES,Consumer Discretionary,Broadcasting & Cable,Europe,Luxembourg,15,2.5,0.8,12.5,1074,http://www.forbes.com/companies/ses/
Tohoku Electric Power,Utilities,Electric Utilities,Asia,Japan,4.9,19.9,-0.4,39.5,1075,http://www.forbes.com/companies/tohoku-electric-power/
Lend Lease Group,Financials,Real Estate,Australia,Australia,6,12.1,0.5,13.8,1076,http://www.forbes.com/companies/lend-lease-group/
Alleghany,Financials,Property & Casualty Insurance,North America,United States,6.8,4.9,0.6,23.7,1077,http://www.forbes.com/companies/alleghany/
Arrow Electronics,Information Technology,Electronics,North America,United States,6,21.4,0.4,12.1,1078,http://www.forbes.com/companies/arrow-electronics/
Boston Scientific,Health Care,Medical Equipment & Supplies,North America,United States,18,7.1,-0.1,16.6,1079,http://www.forbes.com/companies/boston-scientific/
Shizuoka Bank,Financials,Regional Banks,Asia,Japan,6.1,2.2,0.5,103.3,1080,http://www.forbes.com/companies/shizuoka-bank/
Stora Enso,Materials,Paper & Paper Products,Europe,Finland,8.5,14,-0.1,17.6,1081,http://www.forbes.com/companies/stora-enso/
Hyundai Engineering,Industrials,Construction Services,Asia,South Korea,5.9,12.7,0.5,14,1082,http://www.forbes.com/companies/hyundai-engineering/
Suntory Beverage & Food,,,Asia,Japan,10.5,11.5,0.3,12,1083,http://www.forbes.com/companies/suntory-beverage-food/
Chicago Bridge & Iron,Industrials,Construction Services,Europe,Netherlands,9.4,11.1,0.5,9.4,1084,http://www.forbes.com/companies/chicago-bridge-iron/
Daito Trust Construction,Industrials,Construction Services,Asia,Japan,7.2,12.8,0.7,5.5,1085,http://www.forbes.com/companies/daito-trust-construction/
PulteGroup,Industrials,Construction Services,North America,United States,7.5,5.6,2.6,8.7,1086,http://www.forbes.com/companies/pultegroup/
T Rowe Price,Financials,Investment Services,North America,United States,21.8,3.5,1,5.2,1086,http://www.forbes.com/companies/t-rowe-price/
Huishang Bank Corporation Limited,Financials,Regional Banks,Asia,China,5,3.2,0.8,63.1,1088,http://www.forbes.com/companies/huishang-bank-corporation-limited/
Quest Diagnostics,Health Care,Healthcare Services,North America,United States,8.7,7.1,0.8,8.9,1089,http://www.forbes.com/companies/quest-diagnostics/
CMS Energy,Utilities,Electric Utilities,North America,United States,7.8,6.6,0.5,17.4,1090,http://www.forbes.com/companies/cms-energy/
PKN Orlen,Energy,Oil & Gas Operations,Europe,Poland,6,36,0.1,17.1,1091,http://www.forbes.com/companies/pkn-orlen/
Arab Bank,Financials,Regional Banks,Asia,Jordan,7,2.2,0.5,46.4,1092,http://www.forbes.com/companies/arab-bank/
China Southern Airlines,Industrials,Airline,Asia,China,3.7,15.9,0.3,27.3,1093,http://www.forbes.com/companies/china-southern-airlines/
Yamato Holdings,Industrials,Trucking,Asia,Japan,9.8,13.8,0.3,10.1,1093,http://www.forbes.com/companies/yamato-holdings/
Kawasaki Heavy Industries,Industrials,Heavy Equipment,Asia,Japan,6.3,13.6,0.4,15.9,1095,http://www.forbes.com/companies/kawasaki-heavy-industries/
Brenntag,Materials,Specialized Chemicals,Europe,Germany,9.6,13,0.5,7.8,1095,http://www.forbes.com/companies/brenntag/
Zimmer Holdings,Health Care,Medical Equipment & Supplies,North America,United States,16.1,4.6,0.8,9.6,1097,http://www.forbes.com/companies/zimmer-holdings/
Bank of Ningbo,Financials,Regional Banks,Asia,China,4.1,3.9,0.8,73.9,1098,http://www.forbes.com/companies/bank-of-ningbo/
General Growth Properties,Financials,Real Estate,North America,United States,19.5,2.5,0.3,25.8,1099,http://www.forbes.com/companies/general-growth-properties/
Rexel,Information Technology,Electronics,Europe,France,7.4,17.3,0.3,14.5,1100,http://www.forbes.com/companies/rexel/
Charter Communications,Consumer Discretionary,Broadcasting & Cable,North America,United States,13.6,8.2,-0.2,17.3,1101,http://www.forbes.com/companies/charter-communications/
NetApp,Information Technology,Computer Storage Devices,North America,United States,12.3,6.4,0.6,9,1102,http://www.forbes.com/companies/netapp/
Starwood Hotels,Consumer Discretionary,Hotels & Motels,North America,United States,15.4,6.1,0.6,8.8,1103,http://www.forbes.com/companies/starwood-hotels/
Gjensidige Forsikring,Financials,Property & Casualty Insurance,Europe,Norway,10.2,3.8,0.6,17.8,1104,http://www.forbes.com/companies/gjensidige-forsikring/
MOL Hungarian Oil,Energy,Oil & Gas Operations,Europe,Hungary,5.6,24.2,0.1,21.5,1105,http://www.forbes.com/companies/mol-hungarian-oil/
Coach,Consumer Discretionary,Apparel/Accessories,North America,United States,13.8,5,1,3.5,1106,http://www.forbes.com/companies/coach/
London Stock Exchange,Financials,Investment Services,Europe,United Kingdom,9,1.4,0.3,913.6,1107,http://www.forbes.com/companies/london-stock-exchange/
Uniqa,Financials,Diversified Insurance,Europe,Austria,4.1,8.5,0.4,40,1108,http://www.forbes.com/companies/uniqa/
New York Community,Financials,Thrifts & Mortgage Finance,North America,United States,7.1,1.9,0.5,46.9,1109,http://www.forbes.com/companies/new-york-community/
Campbell Soup,Consumer Staples,Food Processing,North America,United States,14,8.3,0.5,8.1,1110,http://www.forbes.com/companies/campbell-soup/
Keyence,Information Technology,Electronics,Asia,Japan,25.5,2.6,0.8,7.8,1111,http://www.forbes.com/companies/keyence/
Santos,Energy,Oil & Gas Operations,Australia,Australia,12.1,3.5,0.5,18.4,1111,http://www.forbes.com/companies/santos/
Dollar Tree,Consumer Discretionary,Discount Stores,North America,United States,10.8,7.8,0.6,2.8,1113,http://www.forbes.com/companies/dollar-tree/
Taishin Financial Holdings,Financials,Investment Services,Asia,Taiwan,3.6,2.5,0.6,95.9,1114,http://www.forbes.com/companies/taishin-financial-holdings/
Sharp,Consumer Discretionary,Consumer Electronics,Asia,Japan,5.1,29.2,-1.1,22.9,1115,http://www.forbes.com/companies/sharp/
Bank of Nanjing,Financials,Regional Banks,Asia,China,3.7,3.3,0.7,69.6,1116,http://www.forbes.com/companies/bank-of-nanjing/
Delta Lloyd,Financials,Diversified Insurance,Europe,Netherlands,5.5,8.2,0.2,104.7,1117,http://www.forbes.com/companies/delta-lloyd/
Industrivarden,Financials,Investment Services,Europe,Sweden,8,1.8,1.9,12.4,1118,http://www.forbes.com/companies/industrivarden/
SMC Corp,Industrials,Other Industrial Equipment,Asia,Japan,18.2,3.9,0.9,9,1119,http://www.forbes.com/companies/smc-corp/
Südzucker,Consumer Staples,Food Processing,Europe,Germany,5.7,10.4,0.6,12.5,1120,http://www.forbes.com/companies/sudzucker/
AmBank Group,Financials,Regional Banks,Asia,Malaysia,6.6,2.6,0.5,40,1121,http://www.forbes.com/companies/ambank-group/
Western Union,Consumer Discretionary,Business & Personal Services,North America,United States,9.2,5.5,0.8,10.2,1122,http://www.forbes.com/companies/western-union/
Suning Appliance,Consumer Discretionary,Specialty Stores,Asia,China,8.6,17.1,0.2,13.6,1123,http://www.forbes.com/companies/suning-appliance/
Turk Telekom,Telecommunication Services,Telecommunications services,Europe,Turkey,9.9,6.9,0.7,8.5,1124,http://www.forbes.com/companies/turk-telekom/
First Republic Bank,Financials,Regional Banks,North America,United States,7.3,1.6,0.5,42.2,1125,http://www.forbes.com/companies/first-republic-bank/
Fiserv,Information Technology,Software & Programming,North America,United States,14.6,4.8,0.7,9.7,1126,http://www.forbes.com/companies/fiserv/
Doosan,Industrials,Construction Services,Asia,South Korea,2.7,20,0.1,29.5,1127,http://www.forbes.com/companies/doosan/
Mediobanca,Financials,Regional Banks,Europe,Italy,9.8,4.4,0,103.7,1127,http://www.forbes.com/companies/mediobanca/
Vedanta Resources,Materials,Diversified Metals & Mining,Europe,United Kingdom,4,13.7,-0.2,43.8,1129,http://www.forbes.com/companies/vedanta-resources/
Osaka Gas,Utilities,Natural Gas Utilities,Asia,Japan,7.8,14.9,0.2,16,1129,http://www.forbes.com/companies/osaka-gas/
EasyJet,Industrials,Airline,Europe,United Kingdom,11.7,6.6,0.6,7.2,1131,http://www.forbes.com/companies/easyjet/
Asahi Glass,Materials,Construction Materials,Asia,Japan,6.7,13.5,0.2,20.8,1131,http://www.forbes.com/companies/asahi-glass/
BYD,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,17.2,8.4,0.1,12.9,1133,http://www.forbes.com/companies/byd/
PartnerRe,Financials,Diversified Insurance,North America,Bermuda,5.2,5.8,0.7,23,1134,http://www.forbes.com/companies/partnerre/
Wisconsin Energy,Utilities,Electric Utilities,North America,United States,10.5,4.5,0.6,14.8,1134,http://www.forbes.com/companies/wisconsin-energy/
Fairfax Financial,Financials,Property & Casualty Insurance,North America,Canada,9.8,5.8,-0.6,36,1136,http://www.forbes.com/companies/fairfax-financial/
Kinnevik,Financials,Investment Services,Europe,Sweden,10.2,0.2,1.3,10.5,1137,http://www.forbes.com/companies/kinnevik/
Dongbu Insurance,Financials,Property & Casualty Insurance,Asia,South Korea,3.7,11.1,0.3,28.3,1138,http://www.forbes.com/companies/dongbu-insurance/
Colruyt,Consumer Staples,Food Retail,Europe,Belgium,8.9,11.1,0.5,4.9,1139,http://www.forbes.com/companies/colruyt/
Noble,Energy,Oil Services & Equipment,Europe,Switzerland,8.1,4.2,0.8,16.2,1140,http://www.forbes.com/companies/noble/
BCI-Banco Credito,Financials,Regional Banks,South America,Chile,6.1,3.2,0.6,38.5,1141,http://www.forbes.com/companies/bci-banco-credito/
Molson Coors Brewing,Consumer Staples,Beverages,North America,United States,10.8,4.2,0.6,15.6,1142,http://www.forbes.com/companies/molson-coors-brewing/
Bank Leumi,Financials,Major Banks,Asia,Israel,5.8,4.6,0.4,103.6,1143,http://www.forbes.com/companies/bank-leumi/
Eurazeo,Financials,Investment Services,Europe,France,5.8,5.7,0.7,16.9,1144,http://www.forbes.com/companies/eurazeo/
Hong Kong Exchanges,Financials,Investment Services,Asia,Hong Kong,17.9,1,0.6,11.1,1144,http://www.forbes.com/companies/hong-kong-exchanges/
Sears Holdings,Consumer Discretionary,Department Stores,North America,United States,5.2,36.2,-1.4,18.3,1146,http://www.forbes.com/companies/sears-holdings/
Alliance Data Systems,Consumer Discretionary,Business & Personal Services,North America,United States,14.5,4.3,0.5,13.2,1147,http://www.forbes.com/companies/alliance-data-systems/
El Puerto de Liverpool,Consumer Discretionary,Department Stores,North America,Mexico,14.3,5.8,0.6,7.4,1147,http://www.forbes.com/companies/el-puerto-de-liverpool/
Arch Capital Group,Financials,Property & Casualty Insurance,North America,Bermuda,7.7,3.5,0.7,19.6,1149,http://www.forbes.com/companies/arch-capital-group/
FMC Technologies,Energy,Oil Services & Equipment,North America,United States,12.5,7.1,0.5,6.6,1150,http://www.forbes.com/companies/fmc-technologies/
Verbund,Utilities,Electric Utilities,Europe,Austria,7.2,4.3,0.8,17.6,1151,http://www.forbes.com/companies/verbund/
Kintetsu,Industrials,Railroads,Asia,Japan,6.7,11.9,0.3,18.7,1151,http://www.forbes.com/companies/kintetsu/
HCL Technologies,Information Technology,Software & Programming,Asia,India,16.6,4.7,0.7,4.2,1153,http://www.forbes.com/companies/hcl-technologies/
Experian,Consumer Discretionary,Business & Personal Services,Europe,Ireland,18,4.8,0.7,8.2,1154,http://www.forbes.com/companies/experian/
E-mart,Consumer Discretionary,Discount Stores,Asia,South Korea,6.3,11.9,0.4,12.4,1155,http://www.forbes.com/companies/e-mart/
W&W-Wüstenrot,Financials,Investment Services,Europe,Germany,2.3,9,0.2,100.1,1156,http://www.forbes.com/companies/ww-wustenrot/
Sabesp,Utilities,Diversified Utilities,South America,Brazil,6.5,5.3,1,12.8,1157,http://www.forbes.com/companies/sabesp/
Red Eléctrica,Utilities,Electric Utilities,Europe,Spain,11,2.3,0.7,13,1158,http://www.forbes.com/companies/red-electrica/
Intuit,Information Technology,Software & Programming,North America,United States,22.4,4.2,0.7,4.7,1158,http://www.forbes.com/companies/intuit/
Goldcorp,Materials,Diversified Metals & Mining,North America,Canada,19.9,3.8,-2.7,29.6,1160,http://www.forbes.com/companies/goldcorp/
Dai Nippon Printing,Consumer Discretionary,Printing & Publishing,Asia,Japan,6.1,14.7,0.3,14.7,1160,http://www.forbes.com/companies/dai-nippon-printing/
Quinenco,Industrials,Conglomerates,South America,Chile,3.5,8.6,0.3,56.7,1162,http://www.forbes.com/companies/quinenco/
Mitsubishi UFJ Lease,Financials,Rental & Leasing,Asia,Japan,4.3,7.2,0.4,41.3,1163,http://www.forbes.com/companies/mitsubishi-ufj-lease/
Saputo,Consumer Staples,Food Processing,North America,Canada,9.8,8.5,0.5,5.2,1164,http://www.forbes.com/companies/saputo/
Delta Electronics,Information Technology,Electronics,Asia,Taiwan,14.9,5.8,0.5,6.3,1165,http://www.forbes.com/companies/delta-electronics/
CPFL Energia,Utilities,Electric Utilities,South America,Brazil,7.8,7.2,0.4,13.2,1166,http://www.forbes.com/companies/cpfl-energia/
Chiba Bank,Financials,Major Banks,Asia,Japan,5.2,2.2,0.5,112.3,1167,http://www.forbes.com/companies/chiba-bank/
Global Logistic Properties,Financials,Real Estate,Asia,Singapore,9.9,0.6,0.7,13.5,1168,http://www.forbes.com/companies/global-logistic-properties/
Advanced Semiconductor,Information Technology,Semiconductors,Asia,Taiwan,8.6,7.4,0.5,9.6,1169,http://www.forbes.com/companies/advanced-semiconductor/
Enka,Industrials,Construction Services,Europe,Turkey,9.6,6.5,0.7,8.5,1170,http://www.forbes.com/companies/enka/
Henry Schein,Health Care,Medical Equipment & Supplies,North America,United States,10.2,9.6,0.4,5.6,1171,http://www.forbes.com/companies/henry-schein/
Lear,Consumer Discretionary,Auto & Truck Parts,North America,United States,7.1,16.2,0.4,8.3,1172,http://www.forbes.com/companies/lear/
Hyundai Glovis,Industrials,Other Transportation,Asia,South Korea,8.6,11.7,0.4,4.8,1173,http://www.forbes.com/companies/hyundai-glovis/
Amadeus IT Holdings,Information Technology,Software & Programming,Europe,Spain,18.9,4.1,0.7,7.5,1173,http://www.forbes.com/companies/amadeus-it-holdings/
Hang Lung Group,Financials,Real Estate,Asia,Hong Kong,6.8,1.3,0.6,25.7,1175,http://www.forbes.com/companies/hang-lung-group/
Autoliv,Consumer Discretionary,Auto & Truck Parts,Europe,Sweden,9.5,8.8,0.5,7,1176,http://www.forbes.com/companies/autoliv/
Inner Mongolia Yili,Consumer Staples,Food Processing,Asia,China,12.1,7.3,0.5,5.2,1176,http://www.forbes.com/companies/inner-mongolia-yili/
Zoomlion Heavy Industry,Industrials,Heavy Equipment,Asia,China,6.1,6.2,0.6,14.8,1176,http://www.forbes.com/companies/zoomlion-heavy-industry/
Braskem,Materials,Specialized Chemicals,South America,Brazil,5.3,19,0.2,20.5,1179,http://www.forbes.com/companies/braskem/
Doosan Heavy Industries,Industrials,Heavy Equipment,Asia,South Korea,3.5,17.5,0.1,26.3,1180,http://www.forbes.com/companies/doosan-heavy-industries/
Metalurgica Gerdau,Materials,Iron & Steel,South America,Brazil,2.9,18.5,0.2,24.8,1181,http://www.forbes.com/companies/metalurgica-gerdau/
Alrosa,Materials,Diversified Metals & Mining,Asia,Russia,7.8,5,1,10.4,1182,http://www.forbes.com/companies/alrosa/
Ameren,Utilities,Electric Utilities,North America,United States,9.9,5.8,0.3,21,1182,http://www.forbes.com/companies/ameren/
Sojitz,Industrials,Trading Companies,Asia,Japan,2.1,24.3,0.2,21.2,1182,http://www.forbes.com/companies/sojitz/
Caltex Australia,Energy,Oil & Gas Operations,Australia,Australia,5.4,23.5,0.5,5.4,1185,http://www.forbes.com/companies/caltex-australia/
Fidelity National Financial,Financials,Property & Casualty Insurance,North America,United States,8.9,8.6,0.4,10.5,1186,http://www.forbes.com/companies/fidelity-national-financial/
Nidec,Industrials,Electrical Equipment,Asia,Japan,18,8.5,0.2,10.8,1187,http://www.forbes.com/companies/nidec/
Hebei Iron & Steel,Materials,Iron & Steel,Asia,China,3.3,17.4,0,26.1,1187,http://www.forbes.com/companies/hebei-iron-steel/
American Financial Group,Financials,Diversified Insurance,North America,United States,5.2,5,0.5,40.9,1189,http://www.forbes.com/companies/american-financial-group/
Encana,Energy,Oil & Gas Operations,North America,Canada,15.8,5.7,0.2,17.6,1189,http://www.forbes.com/companies/encana/
Top Frontier Investment Holdings,,,Asia,Philippines,0.7,16.7,0,26.9,1191,http://www.forbes.com/companies/top-frontier-investment-holdings/
WR Berkley,Financials,Property & Casualty Insurance,North America,United States,5.3,6.4,0.5,20.6,1192,http://www.forbes.com/companies/wr-berkley/
Moody's,Consumer Discretionary,Business & Personal Services,North America,United States,17.3,3,0.8,4.4,1193,http://www.forbes.com/companies/moodys/
Espirito Santo Financial,Financials,Regional Banks,Europe,Luxembourg,1.3,7.8,-0.1,113.6,1194,http://www.forbes.com/companies/espirito-santo-financial/
Jacobs Engineering,Industrials,Construction Services,North America,United States,8.4,12.1,0.4,8.4,1195,http://www.forbes.com/companies/jacobs-engineering/
Beijing Enterprises,Utilities,Natural Gas Utilities,Asia,Hong Kong,11.4,4.9,0.5,12.5,1196,http://www.forbes.com/companies/beijing-enterprises/
China Taiping Insurance,Financials,Diversified Insurance,Asia,Hong Kong,4.4,11.9,0.2,40.3,1197,http://www.forbes.com/companies/china-taiping-insurance/
ATOS,Information Technology,Computer Services,Europe,France,8.9,11.4,0.3,9.7,1198,http://www.forbes.com/companies/atos/
Flextronics International,Information Technology,Electronics,Asia,Singapore,5.6,24.7,0.3,12.8,1199,http://www.forbes.com/companies/flextronics-international/
Want Want China,Consumer Staples,Food Processing,Asia,China,20.3,3.8,0.7,4.3,1200,http://www.forbes.com/companies/want-want-china/
Yamaha Motor,Consumer Discretionary,Recreational Products,Asia,Japan,5.4,14.4,0.5,10.9,1201,http://www.forbes.com/companies/yamaha-motor/
Julius Baer Group,Financials,Investment Services,Europe,Switzerland,9.6,2.7,0.2,81.5,1202,http://www.forbes.com/companies/julius-baer-group/
S-Oil,Energy,Oil & Gas Operations,Asia,South Korea,6.6,28.5,0.3,11.4,1203,http://www.forbes.com/companies/s-oil/
Direct Line Insurance,Financials,Diversified Insurance,Europe,United Kingdom,6,6.1,0.5,17.8,1204,http://www.forbes.com/companies/direct-line-insurance/
Dr Pepper Snapple Group,Consumer Staples,Beverages,North America,United States,10.7,6,0.6,8.2,1205,http://www.forbes.com/companies/dr-pepper-snapple/
Pegatron,Information Technology,Electronics,Asia,Taiwan,3.5,32.2,0.3,13.9,1205,http://www.forbes.com/companies/pegatron/
Nintendo,Consumer Discretionary,Consumer Electronics,Asia,Japan,16.6,6.1,0,15.1,1207,http://www.forbes.com/companies/nintendo/
Banca MPS,Financials,Major Banks,Europe,Italy,4.5,6.7,-1.9,274.4,1207,http://www.forbes.com/companies/banca-mps/
BPI,Financials,Regional Banks,Asia,Philippines,7.9,1.5,0.4,27,1209,http://www.forbes.com/companies/bpi/
Cincinnati Financial,Financials,Diversified Insurance,North America,United States,7.8,4.5,0.5,18.1,1210,http://www.forbes.com/companies/cincinnati-financial/
Hindustan Petroleum,Energy,Oil & Gas Operations,Asia,India,1.7,35,0.1,17.1,1211,http://www.forbes.com/companies/hindustan-petroleum/
Mondi,Materials,Paper & Paper Products,Europe,United Kingdom,8.4,8.6,0.5,8.6,1211,http://www.forbes.com/companies/mondi/
Anadolu Efes,Consumer Staples,Beverages,Europe,Turkey,6.7,4.8,1.4,10.4,1213,http://www.forbes.com/companies/anadolu-efes/
HAL Trust,Financials,Investment Services,Europe,Netherlands,9.8,5.5,0.6,9.8,1214,http://www.forbes.com/companies/hal-trust/
Crown Castle International,Telecommunication Services,Telecommunications services,North America,United States,25,3,0.1,20.6,1215,http://www.forbes.com/companies/crown-castle-international/
Lennar,Industrials,Construction Services,North America,United States,8.3,6.3,0.5,11.3,1216,http://www.forbes.com/companies/lennar/
Equity Residential,Financials,Real Estate,North America,United States,21.1,2.4,-0.2,22.8,1217,http://www.forbes.com/companies/equity-residential/
Cosmo Oil,Energy,Oil & Gas Operations,Asia,Japan,1.5,35.4,0,16.9,1218,http://www.forbes.com/companies/cosmo-oil/
Zain,Telecommunication Services,Telecommunications services,Asia,Kuwait,9.7,4.4,0.8,11,1219,http://www.forbes.com/companies/zain/
ZTE,Information Technology,Communications Equipment,Asia,Hong Kong,7.2,12.1,0.2,16.7,1220,http://www.forbes.com/companies/zte/
Industrial Alliance Insurance,Financials,Life & Health Insurance,North America,Canada,4.1,6.3,0.4,39.9,1220,http://www.forbes.com/companies/industrial-alliance-insurance/
Wuliangye Yibin,Consumer Staples,Beverages,Asia,China,10.5,3.8,1.5,7.2,1222,http://www.forbes.com/companies/wuliangye-yibin/
Intuitive Surgical,Health Care,Medical Equipment & Supplies,North America,United States,18.9,2.3,0.7,4,1223,http://www.forbes.com/companies/intuitive-surgical/
Oriental Land,Consumer Discretionary,Hotels & Motels,Asia,Japan,13.7,4.7,0.7,6.4,1224,http://www.forbes.com/companies/oriental-land/
PLDT,Telecommunication Services,Telecommunications services,Asia,Philippines,13.2,4,0.8,9,1225,http://www.forbes.com/companies/pldt/
Power Finance,Consumer Discretionary,Business & Personal Services,Asia,India,4.2,3.2,0.8,31.2,1226,http://www.forbes.com/companies/power-finance/
CH Robinson Worldwide,Industrials,Other Transportation,North America,United States,7.7,12.8,0.4,2.8,1227,http://www.forbes.com/companies/ch-robinson-worldwide/
Sino-Ocean Land Holdings,Financials,Real Estate,Asia,China,3.9,5.1,0.7,22.8,1228,http://www.forbes.com/companies/sino-ocean-land-holdings/
Union Bank of India,Financials,Regional Banks,Asia,India,1.4,5.2,0.4,57.6,1229,http://www.forbes.com/companies/union-bank-of-india/
CP All,Consumer Discretionary,Specialty Stores,Asia,Thailand,12.1,8.9,0.3,8.8,1230,http://www.forbes.com/companies/cp-all/
Ajinomoto,Consumer Staples,Food Processing,Asia,Japan,8.9,10.5,0.3,10.6,1231,http://www.forbes.com/companies/ajinomoto/
Oji Holdings,Materials,Paper & Paper Products,Asia,Japan,4.6,13.3,0.3,18.3,1232,http://www.forbes.com/companies/oji-holdings/
Adani Enterprises,Industrials,Trading Companies,Asia,India,6.5,8.6,0.3,19.5,1233,http://www.forbes.com/companies/adani-enterprises/
Ingram Micro,Information Technology,Electronics,North America,United States,4.6,42.6,0.3,11.8,1234,http://www.forbes.com/companies/ingram-micro/
Avalonbay Communities,Financials,Real Estate,North America,United States,17,1.4,0.4,15.3,1235,http://www.forbes.com/companies/avalonbay-communities/
Host Hotels & Resorts,Financials,Real Estate,North America,United States,15.6,5.3,0.3,12.8,1236,http://www.forbes.com/companies/host-hotels-resorts/
Brown-Forman,Consumer Staples,Beverages,North America,United States,19.1,3,0.6,4,1237,http://www.forbes.com/companies/brown-forman/
JM Smucker,Consumer Staples,Food Processing,North America,United States,10.1,5.7,0.6,9,1238,http://www.forbes.com/companies/jm-smucker/
Saudi Arabian Fertilizers,Materials,Specialized Chemicals,Asia,Saudi Arabia,14.3,1.1,0.8,2.5,1239,http://www.forbes.com/companies/saudi-arabian-fertilizers/
Wärtsilä,Industrials,Heavy Equipment,Europe,Finland,11,6.2,0.5,7.2,1240,http://www.forbes.com/companies/wartsila/
Mead Johnson Nutrition,Consumer Staples,Household/Personal Care,North America,United States,17.3,4.2,0.6,3.5,1241,http://www.forbes.com/companies/mead-johnson-nutrition/
Analog Devices,Information Technology,Semiconductors,North America,United States,16.9,2.6,0.7,6.4,1242,http://www.forbes.com/companies/analog-devices/
Xiamen C&D,Industrials,Trading Companies,Asia,China,2.4,16.2,0.4,11.6,1243,http://www.forbes.com/companies/xiamen-cd/
Clorox,Consumer Staples,Household/Personal Care,North America,United States,11.4,5.7,0.6,4.4,1244,http://www.forbes.com/companies/clorox/
Century Tokyo Leasing,Financials,Rental & Leasing,Asia,Japan,3,8,0.4,26.6,1244,http://www.forbes.com/companies/century-tokyo-leasing/
Amphenol,Information Technology,Electronics,North America,United States,14.6,4.6,0.6,6.2,1246,http://www.forbes.com/companies/amphenol/
Hong Leong Financial,Financials,Investment Services,Asia,Malaysia,5.1,2.5,0.5,56,1246,http://www.forbes.com/companies/hong-leong-financial/
Novolipetsk Steel,Materials,Iron & Steel,Asia,Russia,7.5,10.9,0.2,16.3,1248,http://www.forbes.com/companies/novolipetsk-steel/
Harbin Bank,Financials,Regional Banks,Asia,China,1.1,2.6,0.5,53.2,1249,http://www.forbes.com/companies/harbin-bank/
Banco Comercial Portugues,Financials,Regional Banks,Europe,Portugal,6.3,5,-1,113,1250,http://www.forbes.com/companies/banco-comercial-portugues/
Mitsui OSK Lines,Industrials,Other Transportation,Asia,Japan,4.7,17.1,-0.9,21.7,1251,http://www.forbes.com/companies/mitsui-osk-lines/
TUI,Consumer Discretionary,Business & Personal Services,Europe,Germany,4.3,24.4,0,17.5,1252,http://www.forbes.com/companies/tui/
First Quantum Minerals,Materials,Diversified Metals & Mining,North America,Canada,10.7,3.6,0.5,15.5,1253,http://www.forbes.com/companies/first-quantum-minerals/
Southwestern Energy,Energy,Oil & Gas Operations,North America,United States,16.2,3.1,0.7,8,1254,http://www.forbes.com/companies/southwestern-energy/
Kotak Mahindra Bank,Financials,Regional Banks,Asia,India,9.9,2.9,0.4,18.3,1254,http://www.forbes.com/companies/kotak-mahindra-bank/
Agile Property Holdings,Financials,Real Estate,Asia,Hong Kong,2.9,5.4,0.8,16.7,1256,http://www.forbes.com/companies/agile-property-holdings/
Dubai Islamic Bank,Financials,Regional Banks,Asia,United Arab Emirates,6.8,1.3,0.4,30.8,1257,http://www.forbes.com/companies/dubai-islamic-bank/
